schema_version,experiment,seed,condition,compromise_fraction,required_fragments,emitted_fragments,recovery_fragments,redundancy_factor,bandwidth_overhead,magnet_strength,wandering_strength,hop_budget,custody_rounds,message_reconstructed,effective_reconstruction_ratio,reconstruction_margin,delivered_total,primary_delivered,recovery_delivered,clean_reconstruction,delivered_compromised_fragments,mean_hop_count,mean_transport_delivery_ratio,loop_rate,dead_end_rate,mean_compromised_relays_per_fragment,reticulum_graph_visible,voxmesh_knows_reticulum_identity,reticulum_knows_whisper_payload,network_profile,network_risk,adaptive_redundancy_factor,adaptive_custody_rounds,adaptive_repair_budget_factor,receive_mode
1.3.2,redundancy-compensated-pressure-routing,adaptive-000:good,random,0.2,100,127,27,1.261858554628441,1.27,6.0,0.5,12,5,True,1.0,7,107,83,24,False,80,5.346456692913386,0.6896836759041484,0.023622047244094488,0.007874015748031496,1.4094488188976377,False,False,False,good,0.07905703085627339,1.261858554628441,5,0.06185855462844101,BUFFERED
1.3.2,redundancy-compensated-pressure-routing,adaptive-000:normal,random,0.2,100,131,31,1.3044045752618472,1.31,6.0,0.5,12,6,True,1.0,12,112,86,26,False,72,5.091603053435114,0.6801939790489409,0.022900763358778626,0.0,1.0610687022900764,False,False,False,normal,0.3626971684123149,1.3044045752618472,6,0.10440457526184725,BUFFERED
1.3.2,redundancy-compensated-pressure-routing,adaptive-000:bad,random,0.2,100,135,35,1.3467662934445872,1.35,6.0,0.5,12,6,True,1.0,19,119,90,29,False,91,4.985185185185185,0.6981454759232537,0.014814814814814815,0.02962962962962963,1.0962962962962963,False,False,False,bad,0.6451086229639148,1.3467662934445872,6,0.14676629344458725,BUFFERED
1.3.2,redundancy-compensated-pressure-routing,adaptive-000:very_bad,random,0.2,100,139,39,1.3818229694064759,1.39,6.0,0.5,12,7,True,1.0,17,117,87,30,False,87,4.76978417266187,0.6676731342198968,0.03597122302158273,0.0,1.3453237410071943,False,False,False,very_bad,0.8788197960431734,1.3818229694064759,7,0.18182296940647602,STREAMING
1.3.2,redundancy-compensated-pressure-routing,adaptive-000:good,targeted,0.2,100,127,27,1.261858554628441,1.27,6.0,0.5,12,5,True,1.0,7,107,83,24,False,87,5.346456692913386,0.6896836759041484,0.023622047244094488,0.007874015748031496,2.220472440944882,False,False,False,good,0.07905703085627339,1.261858554628441,5,0.06185855462844101,BUFFERED
1.3.2,redundancy-compensated-pressure-routing,adaptive-000:normal,targeted,0.2,100,131,31,1.3044045752618472,1.31,6.0,0.5,12,6,True,1.0,12,112,86,26,False,93,5.091603053435114,0.6801939790489409,0.022900763358778626,0.0,2.099236641221374,False,False,False,normal,0.3626971684123149,1.3044045752618472,6,0.10440457526184725,BUFFERED
1.3.2,redundancy-compensated-pressure-routing,adaptive-000:bad,targeted,0.2,100,135,35,1.3467662934445872,1.35,6.0,0.5,12,6,True,1.0,19,119,90,29,False,101,4.985185185185185,0.6981454759232537,0.014814814814814815,0.02962962962962963,2.066666666666667,False,False,False,bad,0.6451086229639148,1.3467662934445872,6,0.14676629344458725,BUFFERED
1.3.2,redundancy-compensated-pressure-routing,adaptive-000:very_bad,targeted,0.2,100,139,39,1.3818229694064759,1.39,6.0,0.5,12,7,True,1.0,17,117,87,30,False,102,4.76978417266187,0.6676731342198968,0.03597122302158273,0.0,2.0863309352517985,False,False,False,very_bad,0.8788197960431734,1.3818229694064759,7,0.18182296940647602,STREAMING
1.3.2,redundancy-compensated-pressure-routing,adaptive-000:good,behavioral,0.2,100,127,27,1.261858554628441,1.27,6.0,0.5,12,5,True,1.0,8,108,84,24,True,0,5.267716535433071,0.6863843724079944,0.03937007874015748,0.007874015748031496,0.0,False,False,False,good,0.07905703085627339,1.261858554628441,5,0.06185855462844101,BUFFERED
1.3.2,redundancy-compensated-pressure-routing,adaptive-000:normal,behavioral,0.2,100,131,31,1.3044045752618472,1.31,6.0,0.5,12,6,True,1.0,17,117,90,27,True,0,5.198473282442748,0.7165050174592159,0.07633587786259542,0.0,0.0,False,False,False,normal,0.3626971684123149,1.3044045752618472,6,0.10440457526184725,BUFFERED
1.3.2,redundancy-compensated-pressure-routing,adaptive-000:bad,behavioral,0.2,100,135,35,1.3467662934445872,1.35,6.0,0.5,12,6,True,1.0,17,117,89,28,True,0,5.2,0.7108842392175725,0.044444444444444446,0.044444444444444446,0.0,False,False,False,bad,0.6451086229639148,1.3467662934445872,6,0.14676629344458725,BUFFERED
1.3.2,redundancy-compensated-pressure-routing,adaptive-000:very_bad,behavioral,0.2,100,139,39,1.3818229694064759,1.39,6.0,0.5,12,7,True,1.0,19,119,90,29,True,0,5.345323741007194,0.6925446655662483,0.06474820143884892,0.007194244604316547,0.0,False,False,False,very_bad,0.8788197960431734,1.3818229694064759,7,0.18182296940647602,STREAMING
1.3.2,redundancy-compensated-pressure-routing,adaptive-001:good,random,0.2,100,126,26,1.256201567575237,1.26,6.0,0.5,12,5,True,1.0,11,111,86,25,False,79,5.119047619047619,0.701816063125587,0.031746031746031744,0.0,1.2777777777777777,False,False,False,good,0.04134378383491277,1.256201567575237,5,0.05620156757523692,BUFFERED
1.3.2,redundancy-compensated-pressure-routing,adaptive-001:normal,random,0.2,100,130,30,1.2962512328001732,1.3,6.0,0.5,12,6,True,1.0,7,107,81,26,False,79,4.053846153846154,0.6200621600621601,0.038461538461538464,0.0,1.2,False,False,False,normal,0.3083415520011543,1.2962512328001732,6,0.09625123280017316,BUFFERED
1.3.2,redundancy-compensated-pressure-routing,adaptive-001:bad,random,0.2,100,135,35,1.346030991098618,1.35,6.0,0.5,12,6,True,1.0,14,114,83,31,False,75,3.7185185185185183,0.6331922398589065,0.022222222222222223,0.0,1.037037037037037,False,False,False,bad,0.6402066073241195,1.346030991098618,6,0.14603099109861795,STREAMING
1.3.2,redundancy-compensated-pressure-routing,adaptive-001:very_bad,random,0.2,100,139,39,1.38102890715552,1.39,6.0,0.5,12,7,True,1.0,18,118,84,34,False,75,4.568345323741007,0.6674800419404736,0.014388489208633094,0.014388489208633094,0.8848920863309353,False,False,False,very_bad,0.8735260477034668,1.38102890715552,7,0.18102890715552006,STREAMING
1.3.2,redundancy-compensated-pressure-routing,adaptive-001:good,targeted,0.2,100,126,26,1.256201567575237,1.26,6.0,0.5,12,5,True,1.0,11,111,86,25,False,89,5.119047619047619,0.701816063125587,0.031746031746031744,0.0,1.8571428571428572,False,False,False,good,0.04134378383491277,1.256201567575237,5,0.05620156757523692,BUFFERED
1.3.2,redundancy-compensated-pressure-routing,adaptive-001:normal,targeted,0.2,100,130,30,1.2962512328001732,1.3,6.0,0.5,12,6,True,1.0,7,107,81,26,False,83,4.053846153846154,0.6200621600621601,0.038461538461538464,0.0,1.646153846153846,False,False,False,normal,0.3083415520011543,1.2962512328001732,6,0.09625123280017316,BUFFERED
1.3.2,redundancy-compensated-pressure-routing,adaptive-001:bad,targeted,0.2,100,135,35,1.346030991098618,1.35,6.0,0.5,12,6,True,1.0,14,114,83,31,False,95,3.7185185185185183,0.6331922398589065,0.022222222222222223,0.0,1.7259259259259259,False,False,False,bad,0.6402066073241195,1.346030991098618,6,0.14603099109861795,STREAMING
1.3.2,redundancy-compensated-pressure-routing,adaptive-001:very_bad,targeted,0.2,100,139,39,1.38102890715552,1.39,6.0,0.5,12,7,True,1.0,18,118,84,34,False,102,4.568345323741007,0.6674800419404736,0.014388489208633094,0.014388489208633094,1.856115107913669,False,False,False,very_bad,0.8735260477034668,1.38102890715552,7,0.18102890715552006,STREAMING
1.3.2,redundancy-compensated-pressure-routing,adaptive-001:good,behavioral,0.2,100,126,26,1.256201567575237,1.26,6.0,0.5,12,5,True,1.0,6,106,85,21,True,0,4.626984126984127,0.6566071714881239,0.15079365079365079,0.015873015873015872,0.0,False,False,False,good,0.04134378383491277,1.256201567575237,5,0.05620156757523692,BUFFERED
1.3.2,redundancy-compensated-pressure-routing,adaptive-001:normal,behavioral,0.2,100,130,30,1.2962512328001732,1.3,6.0,0.5,12,6,True,1.0,5,105,78,27,True,0,4.3,0.6336369186369186,0.09230769230769231,0.03076923076923077,0.0,False,False,False,normal,0.3083415520011543,1.2962512328001732,6,0.09625123280017316,BUFFERED
1.3.2,redundancy-compensated-pressure-routing,adaptive-001:bad,behavioral,0.2,100,135,35,1.346030991098618,1.35,6.0,0.5,12,6,True,1.0,18,118,87,31,True,0,4.37037037037037,0.6667369461813906,0.037037037037037035,0.0,0.0,False,False,False,bad,0.6402066073241195,1.346030991098618,6,0.14603099109861795,STREAMING
1.3.2,redundancy-compensated-pressure-routing,adaptive-001:very_bad,behavioral,0.2,100,139,39,1.38102890715552,1.39,6.0,0.5,12,7,True,1.0,15,115,83,32,True,0,4.733812949640288,0.6627949588381243,0.1223021582733813,0.04316546762589928,0.0,False,False,False,very_bad,0.8735260477034668,1.38102890715552,7,0.18102890715552006,STREAMING
1.3.2,redundancy-compensated-pressure-routing,adaptive-002:good,random,0.2,100,127,27,1.2633898832643264,1.27,6.0,0.5,12,5,True,1.0,10,110,86,24,False,77,5.251968503937008,0.6920632080080898,0.06299212598425197,0.007874015748031496,1.1496062992125984,False,False,False,good,0.08926588842884309,1.2633898832643264,5,0.06338988326432647,BUFFERED
1.3.2,redundancy-compensated-pressure-routing,adaptive-002:normal,random,0.2,100,132,32,1.3107692584435966,1.32,6.0,0.5,12,6,True,1.0,14,114,86,28,False,75,4.583333333333333,0.6697171935808299,0.030303030303030304,0.0,1.0909090909090908,False,False,False,normal,0.40512838962397735,1.3107692584435966,6,0.11076925844359661,BUFFERED
1.3.2,redundancy-compensated-pressure-routing,adaptive-002:bad,random,0.2,100,136,36,1.3512882965683968,1.36,6.0,0.5,12,6,True,1.0,22,122,91,31,False,87,5.213235294117647,0.7174088574823869,0.051470588235294115,0.0,1.2352941176470589,False,False,False,bad,0.6752553104559786,1.3512882965683968,6,0.15128829656839682,STREAMING
1.3.2,redundancy-compensated-pressure-routing,adaptive-002:very_bad,random,0.2,100,140,40,1.3911921825026319,1.4,6.0,0.5,12,7,True,1.0,20,120,87,33,False,77,4.264285714285714,0.6478728612657184,0.05,0.0,0.9357142857142857,False,False,False,very_bad,0.9412812166842123,1.3911921825026319,7,0.19119218250263187,STREAMING
1.3.2,redundancy-compensated-pressure-routing,adaptive-002:good,targeted,0.2,100,127,27,1.2633898832643264,1.27,6.0,0.5,12,5,True,1.0,10,110,86,24,False,99,5.251968503937008,0.6920632080080898,0.06299212598425197,0.007874015748031496,2.15748031496063,False,False,False,good,0.08926588842884309,1.2633898832643264,5,0.06338988326432647,BUFFERED
1.3.2,redundancy-compensated-pressure-routing,adaptive-002:normal,targeted,0.2,100,132,32,1.3107692584435966,1.32,6.0,0.5,12,6,True,1.0,14,114,86,28,False,91,4.583333333333333,0.6697171935808299,0.030303030303030304,0.0,1.7045454545454546,False,False,False,normal,0.40512838962397735,1.3107692584435966,6,0.11076925844359661,BUFFERED
1.3.2,redundancy-compensated-pressure-routing,adaptive-002:bad,targeted,0.2,100,136,36,1.3512882965683968,1.36,6.0,0.5,12,6,True,1.0,22,122,91,31,False,101,5.213235294117647,0.7174088574823869,0.051470588235294115,0.0,2.1029411764705883,False,False,False,bad,0.6752553104559786,1.3512882965683968,6,0.15128829656839682,STREAMING
1.3.2,redundancy-compensated-pressure-routing,adaptive-002:very_bad,targeted,0.2,100,140,40,1.3911921825026319,1.4,6.0,0.5,12,7,True,1.0,20,120,87,33,False,94,4.264285714285714,0.6478728612657184,0.05,0.0,1.7857142857142858,False,False,False,very_bad,0.9412812166842123,1.3911921825026319,7,0.19119218250263187,STREAMING
1.3.2,redundancy-compensated-pressure-routing,adaptive-002:good,behavioral,0.2,100,127,27,1.2633898832643264,1.27,6.0,0.5,12,5,True,1.0,15,115,89,26,True,0,5.488188976377953,0.7374566815511697,0.06299212598425197,0.007874015748031496,0.0,False,False,False,good,0.08926588842884309,1.2633898832643264,5,0.06338988326432647,BUFFERED
1.3.2,redundancy-compensated-pressure-routing,adaptive-002:normal,behavioral,0.2,100,132,32,1.3107692584435966,1.32,6.0,0.5,12,6,True,1.0,23,123,92,31,True,0,5.174242424242424,0.7264654116926844,0.045454545454545456,0.0,0.0,False,False,False,normal,0.40512838962397735,1.3107692584435966,6,0.11076925844359661,BUFFERED
1.3.2,redundancy-compensated-pressure-routing,adaptive-002:bad,behavioral,0.2,100,136,36,1.3512882965683968,1.36,6.0,0.5,12,6,True,1.0,21,121,89,32,True,0,5.595588235294118,0.7171443956370427,0.09558823529411764,0.0,0.0,False,False,False,bad,0.6752553104559786,1.3512882965683968,6,0.15128829656839682,STREAMING
1.3.2,redundancy-compensated-pressure-routing,adaptive-002:very_bad,behavioral,0.2,100,140,40,1.3911921825026319,1.4,6.0,0.5,12,7,True,1.0,22,122,88,34,True,0,4.25,0.6663744588744589,0.10714285714285714,0.0,0.0,False,False,False,very_bad,0.9412812166842123,1.3911921825026319,7,0.19119218250263187,STREAMING
1.3.2,redundancy-compensated-pressure-routing,adaptive-003:good,random,0.2,100,127,27,1.2618821879790008,1.27,6.0,0.5,12,5,True,1.0,11,111,87,24,False,75,5.322834645669292,0.7117124563974958,0.023622047244094488,0.0,1.2598425196850394,False,False,False,good,0.0792145865266711,1.2618821879790008,5,0.06188218797900067,BUFFERED
1.3.2,redundancy-compensated-pressure-routing,adaptive-003:normal,random,0.2,100,131,31,1.302372290994756,1.31,6.0,0.5,12,6,True,1.0,12,112,86,26,False,84,5.412213740458015,0.6940484451934834,0.007633587786259542,0.007633587786259542,1.465648854961832,False,False,False,normal,0.3491486066317066,1.302372290994756,6,0.102372290994756,BUFFERED
1.3.2,redundancy-compensated-pressure-routing,adaptive-003:bad,random,0.2,100,135,35,1.347675864166237,1.35,6.0,0.5,12,6,True,1.0,14,114,85,29,False,88,4.9185185185185185,0.6714470097803431,0.02962962962962963,0.0,1.5185185185185186,False,False,False,bad,0.6511724277749129,1.347675864166237,6,0.14767586416623696,STREAMING
1.3.2,redundancy-compensated-pressure-routing,adaptive-003:very_bad,random,0.2,100,139,39,1.3873788014607686,1.39,6.0,0.5,12,7,True,1.0,24,124,89,35,False,94,4.928057553956834,0.7071991757243555,0.04316546762589928,0.007194244604316547,1.3453237410071943,False,False,False,very_bad,0.915858676405125,1.3873788014607686,7,0.1873788014607688,STREAMING
1.3.2,redundancy-compensated-pressure-routing,adaptive-003:good,targeted,0.2,100,127,27,1.2618821879790008,1.27,6.0,0.5,12,5,True,1.0,11,111,87,24,False,99,5.322834645669292,0.7117124563974958,0.023622047244094488,0.0,1.9763779527559056,False,False,False,good,0.0792145865266711,1.2618821879790008,5,0.06188218797900067,BUFFERED
1.3.2,redundancy-compensated-pressure-routing,adaptive-003:normal,targeted,0.2,100,131,31,1.302372290994756,1.31,6.0,0.5,12,6,True,1.0,12,112,86,26,False,94,5.412213740458015,0.6940484451934834,0.007633587786259542,0.007633587786259542,2.3893129770992365,False,False,False,normal,0.3491486066317066,1.302372290994756,6,0.102372290994756,BUFFERED
1.3.2,redundancy-compensated-pressure-routing,adaptive-003:bad,targeted,0.2,100,135,35,1.347675864166237,1.35,6.0,0.5,12,6,True,1.0,14,114,85,29,False,97,4.9185185185185185,0.6714470097803431,0.02962962962962963,0.0,2.0,False,False,False,bad,0.6511724277749129,1.347675864166237,6,0.14767586416623696,STREAMING
1.3.2,redundancy-compensated-pressure-routing,adaptive-003:very_bad,targeted,0.2,100,139,39,1.3873788014607686,1.39,6.0,0.5,12,7,True,1.0,24,124,89,35,False,106,4.928057553956834,0.7071991757243555,0.04316546762589928,0.007194244604316547,2.179856115107914,False,False,False,very_bad,0.915858676405125,1.3873788014607686,7,0.1873788014607688,STREAMING
1.3.2,redundancy-compensated-pressure-routing,adaptive-003:good,behavioral,0.2,100,127,27,1.2618821879790008,1.27,6.0,0.5,12,5,True,1.0,8,108,85,23,True,0,4.74015748031496,0.6850919203281408,0.07086614173228346,0.015748031496062992,0.0,False,False,False,good,0.0792145865266711,1.2618821879790008,5,0.06188218797900067,BUFFERED
1.3.2,redundancy-compensated-pressure-routing,adaptive-003:normal,behavioral,0.2,100,131,31,1.302372290994756,1.31,6.0,0.5,12,6,True,1.0,14,114,87,27,True,0,5.488549618320611,0.7089914962052367,0.04580152671755725,0.007633587786259542,0.0,False,False,False,normal,0.3491486066317066,1.302372290994756,6,0.102372290994756,BUFFERED
1.3.2,redundancy-compensated-pressure-routing,adaptive-003:bad,behavioral,0.2,100,135,35,1.347675864166237,1.35,6.0,0.5,12,6,True,1.0,16,116,86,30,True,0,5.4222222222222225,0.69282961894073,0.05185185185185185,0.0,0.0,False,False,False,bad,0.6511724277749129,1.347675864166237,6,0.14767586416623696,STREAMING
1.3.2,redundancy-compensated-pressure-routing,adaptive-003:very_bad,behavioral,0.2,100,139,39,1.3873788014607686,1.39,6.0,0.5,12,7,True,1.0,22,122,89,33,True,0,4.633093525179856,0.6861757347368859,0.05755395683453238,0.014388489208633094,0.0,False,False,False,very_bad,0.915858676405125,1.3873788014607686,7,0.1873788014607688,STREAMING
1.3.2,redundancy-compensated-pressure-routing,adaptive-004:good,random,0.2,100,127,27,1.265516560172986,1.27,6.0,0.5,12,5,True,1.0,8,108,85,23,False,77,5.05511811023622,0.6818667552919522,0.031496062992125984,0.0,1.2992125984251968,False,False,False,good,0.10344373448657425,1.265516560172986,5,0.06551656017298614,BUFFERED
1.3.2,redundancy-compensated-pressure-routing,adaptive-004:normal,random,0.2,100,131,31,1.3071684016956409,1.31,6.0,0.5,12,6,True,1.0,18,118,90,28,False,91,5.343511450381679,0.722445281605587,0.03816793893129771,0.0,1.3587786259541985,False,False,False,normal,0.381122677970939,1.3071684016956409,6,0.10716840169564086,BUFFERED
1.3.2,redundancy-compensated-pressure-routing,adaptive-004:bad,random,0.2,100,136,36,1.350645224745489,1.36,6.0,0.5,12,6,True,1.0,18,118,88,30,False,81,4.360294117647059,0.6625541125541126,0.014705882352941176,0.0,1.0294117647058822,False,False,False,bad,0.6709681649699267,1.350645224745489,6,0.15064522474548903,STREAMING
1.3.2,redundancy-compensated-pressure-routing,adaptive-004:very_bad,random,0.2,100,138,38,1.3766675715867005,1.38,6.0,0.5,12,7,True,1.0,20,120,90,30,False,84,5.384057971014493,0.708102766798419,0.036231884057971016,0.021739130434782608,1.3405797101449275,False,False,False,very_bad,0.8444504772446702,1.3766675715867005,7,0.17666757158670054,STREAMING
1.3.2,redundancy-compensated-pressure-routing,adaptive-004:good,targeted,0.2,100,127,27,1.265516560172986,1.27,6.0,0.5,12,5,True,1.0,8,108,85,23,False,94,5.05511811023622,0.6818667552919522,0.031496062992125984,0.0,2.0708661417322833,False,False,False,good,0.10344373448657425,1.265516560172986,5,0.06551656017298614,BUFFERED
1.3.2,redundancy-compensated-pressure-routing,adaptive-004:normal,targeted,0.2,100,131,31,1.3071684016956409,1.31,6.0,0.5,12,6,True,1.0,18,118,90,28,False,102,5.343511450381679,0.722445281605587,0.03816793893129771,0.0,2.3053435114503817,False,False,False,normal,0.381122677970939,1.3071684016956409,6,0.10716840169564086,BUFFERED
1.3.2,redundancy-compensated-pressure-routing,adaptive-004:bad,targeted,0.2,100,136,36,1.350645224745489,1.36,6.0,0.5,12,6,True,1.0,18,118,88,30,False,95,4.360294117647059,0.6625541125541126,0.014705882352941176,0.0,1.8602941176470589,False,False,False,bad,0.6709681649699267,1.350645224745489,6,0.15064522474548903,STREAMING
1.3.2,redundancy-compensated-pressure-routing,adaptive-004:very_bad,targeted,0.2,100,138,38,1.3766675715867005,1.38,6.0,0.5,12,7,True,1.0,20,120,90,30,False,108,5.384057971014493,0.708102766798419,0.036231884057971016,0.021739130434782608,2.2318840579710146,False,False,False,very_bad,0.8444504772446702,1.3766675715867005,7,0.17666757158670054,STREAMING
1.3.2,redundancy-compensated-pressure-routing,adaptive-004:good,behavioral,0.2,100,127,27,1.265516560172986,1.27,6.0,0.5,12,5,True,1.0,3,103,82,21,True,0,4.267716535433071,0.6333600345411369,0.05511811023622047,0.0,0.0,False,False,False,good,0.10344373448657425,1.265516560172986,5,0.06551656017298614,BUFFERED
1.3.2,redundancy-compensated-pressure-routing,adaptive-004:normal,behavioral,0.2,100,131,31,1.3071684016956409,1.31,6.0,0.5,12,6,True,1.0,15,115,90,25,True,0,5.0534351145038165,0.7011139200070498,0.015267175572519083,0.0,0.0,False,False,False,normal,0.381122677970939,1.3071684016956409,6,0.10716840169564086,BUFFERED
1.3.2,redundancy-compensated-pressure-routing,adaptive-004:bad,behavioral,0.2,100,136,36,1.350645224745489,1.36,6.0,0.5,12,6,True,1.0,16,116,87,29,True,0,4.948529411764706,0.6901637170019523,0.007352941176470588,0.0,0.0,False,False,False,bad,0.6709681649699267,1.350645224745489,6,0.15064522474548903,STREAMING
1.3.2,redundancy-compensated-pressure-routing,adaptive-004:very_bad,behavioral,0.2,100,138,38,1.3766675715867005,1.38,6.0,0.5,12,7,True,1.0,22,122,92,30,True,0,5.840579710144928,0.7349279544931718,0.036231884057971016,0.021739130434782608,0.0,False,False,False,very_bad,0.8444504772446702,1.3766675715867005,7,0.17666757158670054,STREAMING
1.3.2,redundancy-compensated-pressure-routing,adaptive-005:good,random,0.2,100,127,27,1.2672437085921804,1.27,6.0,0.5,12,5,True,1.0,11,111,86,25,False,77,4.811023622047244,0.6768994784742817,0.0,0.0,1.110236220472441,False,False,False,good,0.11495805728120219,1.2672437085921804,5,0.06724370859218033,BUFFERED
1.3.2,redundancy-compensated-pressure-routing,adaptive-005:normal,random,0.2,100,131,31,1.3040929256382032,1.31,6.0,0.5,12,6,True,1.0,8,108,81,27,False,70,5.0534351145038165,0.6603397662557968,0.03816793893129771,0.0,1.2366412213740459,False,False,False,normal,0.36061950425468836,1.3040929256382032,6,0.10409292563820327,BUFFERED
1.3.2,redundancy-compensated-pressure-routing,adaptive-005:bad,random,0.2,100,135,35,1.3478375426687155,1.35,6.0,0.5,12,6,True,1.0,17,117,87,30,False,90,5.111111111111111,0.6928910801133024,0.02962962962962963,0.0,1.3407407407407408,False,False,False,bad,0.6522502844581031,1.3478375426687155,6,0.14783754266871546,STREAMING
1.3.2,redundancy-compensated-pressure-routing,adaptive-005:very_bad,random,0.2,100,139,39,1.3807747902592875,1.39,6.0,0.5,12,7,True,1.0,19,119,87,32,False,87,4.913669064748201,0.6850057616244667,0.02877697841726619,0.0,1.2374100719424461,False,False,False,very_bad,0.8718319350619176,1.3807747902592875,7,0.18077479025928767,STREAMING
1.3.2,redundancy-compensated-pressure-routing,adaptive-005:good,targeted,0.2,100,127,27,1.2672437085921804,1.27,6.0,0.5,12,5,True,1.0,11,111,86,25,False,90,4.811023622047244,0.6768994784742817,0.0,0.0,2.0393700787401574,False,False,False,good,0.11495805728120219,1.2672437085921804,5,0.06724370859218033,BUFFERED
1.3.2,redundancy-compensated-pressure-routing,adaptive-005:normal,targeted,0.2,100,131,31,1.3040929256382032,1.31,6.0,0.5,12,6,True,1.0,8,108,81,27,False,89,5.0534351145038165,0.6603397662557968,0.03816793893129771,0.0,1.8625954198473282,False,False,False,normal,0.36061950425468836,1.3040929256382032,6,0.10409292563820327,BUFFERED
1.3.2,redundancy-compensated-pressure-routing,adaptive-005:bad,targeted,0.2,100,135,35,1.3478375426687155,1.35,6.0,0.5,12,6,True,1.0,17,117,87,30,False,101,5.111111111111111,0.6928910801133024,0.02962962962962963,0.0,2.2074074074074073,False,False,False,bad,0.6522502844581031,1.3478375426687155,6,0.14783754266871546,STREAMING
1.3.2,redundancy-compensated-pressure-routing,adaptive-005:very_bad,targeted,0.2,100,139,39,1.3807747902592875,1.39,6.0,0.5,12,7,True,1.0,19,119,87,32,False,94,4.913669064748201,0.6850057616244667,0.02877697841726619,0.0,1.7841726618705036,False,False,False,very_bad,0.8718319350619176,1.3807747902592875,7,0.18077479025928767,STREAMING
1.3.2,redundancy-compensated-pressure-routing,adaptive-005:good,behavioral,0.2,100,127,27,1.2672437085921804,1.27,6.0,0.5,12,5,True,1.0,9,109,84,25,True,0,5.2362204724409445,0.6879404279010578,0.03937007874015748,0.0,0.0,False,False,False,good,0.11495805728120219,1.2672437085921804,5,0.06724370859218033,BUFFERED
1.3.2,redundancy-compensated-pressure-routing,adaptive-005:normal,behavioral,0.2,100,131,31,1.3040929256382032,1.31,6.0,0.5,12,6,True,1.0,9,109,82,27,True,0,5.091603053435114,0.669924159809656,0.030534351145038167,0.0,0.0,False,False,False,normal,0.36061950425468836,1.3040929256382032,6,0.10409292563820327,BUFFERED
1.3.2,redundancy-compensated-pressure-routing,adaptive-005:bad,behavioral,0.2,100,135,35,1.3478375426687155,1.35,6.0,0.5,12,6,True,1.0,14,114,84,30,True,0,4.7481481481481485,0.6696729196729196,0.05925925925925926,0.0,0.0,False,False,False,bad,0.6522502844581031,1.3478375426687155,6,0.14783754266871546,STREAMING
1.3.2,redundancy-compensated-pressure-routing,adaptive-005:very_bad,behavioral,0.2,100,139,39,1.3807747902592875,1.39,6.0,0.5,12,7,True,1.0,17,117,83,34,True,0,4.863309352517986,0.6707761063876172,0.02877697841726619,0.014388489208633094,0.0,False,False,False,very_bad,0.8718319350619176,1.3807747902592875,7,0.18077479025928767,STREAMING
1.3.2,redundancy-compensated-pressure-routing,adaptive-006:good,random,0.2,100,126,26,1.258976836909814,1.26,6.0,0.5,12,5,True,1.0,2,102,81,21,False,68,4.746031746031746,0.6474449712544951,0.015873015873015872,0.0,0.7936507936507936,False,False,False,good,0.05984557939876001,1.258976836909814,5,0.05897683690981401,BUFFERED
1.3.2,redundancy-compensated-pressure-routing,adaptive-006:normal,random,0.2,100,131,31,1.3037672191566245,1.31,6.0,0.5,12,6,True,1.0,12,112,84,28,False,81,4.816793893129771,0.6791219170990164,0.03816793893129771,0.0,1.2748091603053435,False,False,False,normal,0.3584481277108304,1.3037672191566245,6,0.10376721915662457,BUFFERED
1.3.2,redundancy-compensated-pressure-routing,adaptive-006:bad,random,0.2,100,135,35,1.3469556746201485,1.35,6.0,0.5,12,6,True,1.0,11,111,82,29,False,76,4.281481481481482,0.6335292074180963,0.022222222222222223,0.022222222222222223,1.0888888888888888,False,False,False,bad,0.6463711641343243,1.3469556746201485,6,0.14695567462014866,BUFFERED
1.3.2,redundancy-compensated-pressure-routing,adaptive-006:very_bad,random,0.2,100,138,38,1.3793419554586503,1.38,6.0,0.5,12,7,True,1.0,10,110,82,28,False,79,4.188405797101449,0.6024659117050422,0.021739130434782608,0.007246376811594203,1.0797101449275361,False,False,False,very_bad,0.862279703057669,1.3793419554586503,7,0.1793419554586504,STREAMING
1.3.2,redundancy-compensated-pressure-routing,adaptive-006:good,targeted,0.2,100,126,26,1.258976836909814,1.26,6.0,0.5,12,5,True,1.0,2,102,81,21,False,90,4.746031746031746,0.6474449712544951,0.015873015873015872,0.0,2.0555555555555554,False,False,False,good,0.05984557939876001,1.258976836909814,5,0.05897683690981401,BUFFERED
1.3.2,redundancy-compensated-pressure-routing,adaptive-006:normal,targeted,0.2,100,131,31,1.3037672191566245,1.31,6.0,0.5,12,6,True,1.0,12,112,84,28,False,92,4.816793893129771,0.6791219170990164,0.03816793893129771,0.0,1.9541984732824427,False,False,False,normal,0.3584481277108304,1.3037672191566245,6,0.10376721915662457,BUFFERED
1.3.2,redundancy-compensated-pressure-routing,adaptive-006:bad,targeted,0.2,100,135,35,1.3469556746201485,1.35,6.0,0.5,12,6,True,1.0,11,111,82,29,False,95,4.281481481481482,0.6335292074180963,0.022222222222222223,0.022222222222222223,1.9111111111111112,False,False,False,bad,0.6463711641343243,1.3469556746201485,6,0.14695567462014866,BUFFERED
