schema_version,experiment,seed,condition,compromise_fraction,node_count,known_logical_edge_count,compromised_node_count,hop_budget,policy,magnet_strength,source_relay,hop_count,path_len,transport_attempts,transport_failures,transport_success,loop_detected,compromised_relays,clean_path,path_compromise_rate,voxmesh_knows_reticulum_identity,reticulum_knows_whisper_payload,reticulum_graph_visible
1.3.0,sol-link-magnetic-logical-routing,pilot-004,random,0.2,100,496,20,12,sol_link_magnetic_hop_by_hop,1.0,n32,12,13,12,0,True,False,3,False,0.23076923076923078,False,False,False
1.3.0,sol-link-magnetic-logical-routing,pilot-004,random,0.2,100,496,20,12,sol_link_magnetic_hop_by_hop,2.0,n32,8,9,9,1,False,False,3,False,0.3333333333333333,False,False,False
1.3.0,sol-link-magnetic-logical-routing,pilot-004,random,0.2,100,496,20,12,sol_link_magnetic_hop_by_hop,4.0,n32,11,12,12,1,False,False,3,False,0.25,False,False,False
1.3.0,sol-link-magnetic-logical-routing,pilot-004,random,0.2,100,496,20,12,sol_link_magnetic_hop_by_hop,8.0,n32,12,13,12,0,True,False,1,False,0.07692307692307693,False,False,False
1.3.0,sol-link-magnetic-logical-routing,pilot-004,targeted,0.2,100,496,20,12,sol_link_magnetic_hop_by_hop,0.0,n32,1,2,2,1,False,False,0,True,0.0,False,False,False
1.3.0,sol-link-magnetic-logical-routing,pilot-004,targeted,0.2,100,496,20,12,sol_link_magnetic_hop_by_hop,1.0,n32,12,13,12,0,True,False,4,False,0.3076923076923077,False,False,False
1.3.0,sol-link-magnetic-logical-routing,pilot-004,targeted,0.2,100,496,20,12,sol_link_magnetic_hop_by_hop,2.0,n32,8,9,9,1,False,False,2,False,0.2222222222222222,False,False,False
1.3.0,sol-link-magnetic-logical-routing,pilot-004,targeted,0.2,100,496,20,12,sol_link_magnetic_hop_by_hop,4.0,n32,11,12,12,1,False,False,3,False,0.25,False,False,False
1.3.0,sol-link-magnetic-logical-routing,pilot-004,targeted,0.2,100,496,20,12,sol_link_magnetic_hop_by_hop,8.0,n32,12,13,12,0,True,False,4,False,0.3076923076923077,False,False,False
1.3.0,sol-link-magnetic-logical-routing,pilot-004,behavioral,0.2,100,496,0,12,sol_link_magnetic_hop_by_hop,0.0,n32,1,2,2,1,False,False,0,True,0.0,False,False,False
1.3.0,sol-link-magnetic-logical-routing,pilot-004,behavioral,0.2,100,496,0,12,sol_link_magnetic_hop_by_hop,1.0,n32,12,13,12,0,True,False,0,True,0.0,False,False,False
1.3.0,sol-link-magnetic-logical-routing,pilot-004,behavioral,0.2,100,496,0,12,sol_link_magnetic_hop_by_hop,2.0,n32,9,10,10,1,False,False,0,True,0.0,False,False,False
1.3.0,sol-link-magnetic-logical-routing,pilot-004,behavioral,0.2,100,496,0,12,sol_link_magnetic_hop_by_hop,4.0,n32,12,13,12,0,True,True,0,True,0.0,False,False,False
1.3.0,sol-link-magnetic-logical-routing,pilot-004,behavioral,0.2,100,496,0,12,sol_link_magnetic_hop_by_hop,8.0,n32,10,11,11,1,False,False,0,True,0.0,False,False,False
1.3.0,sol-link-magnetic-logical-routing,pilot-005,random,0.2,100,460,20,12,sol_link_magnetic_hop_by_hop,0.0,n74,1,2,2,1,False,False,1,False,0.5,False,False,False
